_id,Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
52,52,156404,2015-01-07T13:34:22,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1069761.05000000004656612873077392578125,RON,Offline,NU,NU,90910000-9,Servicii de curatenie (Rev.2)
53,53,156405,2015-01-07T13:38:03,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,91735,RON,Online,NU,NU,30192000-1,Accesorii de birou (Rev.2)
54,54,156407,2015-01-07T13:45:33,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,500749,RON,Online,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
55,55,156409,2015-01-07T13:48:44,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1113370.32000000006519258022308349609375,RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
56,56,156410,2015-01-07T13:49:39,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,76211,RON,Offline,NU,NU,18813300-4,Incaltaminte de oras (Rev.2)
57,57,156411,2015-01-07T13:51:15,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,5032601,RON,Offline,NU,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
58,58,156414,2015-01-07T14:01:13,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,10925,RON,Offline,NU,NU,43810000-4,Echipament de prelucrare a lemnului (Rev.2)
59,59,156415,2015-01-07T14:03:05,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,50000,RON,Offline,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
60,60,156419,2015-01-07T14:08:47,UNIVERSITATEA CRAIOVA,4553380.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,358383.630000000004656612873077392578125,RON,Online,NU,NU,09132100-4,Benzina fara plumb (Rev.2)
61,61,156423,2015-01-07T14:40:25,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,88500,RON,Offline,NU,NU,45310000-3,Lucrari de instalatii electrice (Rev.2)
62,62,156427,2015-01-07T14:44:07,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,567659,RON,Offline,NU,NU,18000000-9,"Imbracaminte, incaltaminte, articole de voiaj si accesorii (Rev.2)"
63,63,156434,2015-01-07T14:57:08,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,96984,RON,Offline,NU,NU,19520000-7,Produse din plastic (Rev.2)
64,64,156424,2015-01-08T01:30:00,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,4410401,RON,Offline,DA,NU,24000000-4,Produse chimice (Rev.2)
65,65,156443,2015-01-08T01:30:00,SPITALUL MUNICIPAL CAREI,4038636.0,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,998717,RON,Offline,DA,NU,33692500-2,Solutii injectabile (Rev.2)
66,66,156408,2015-01-08T01:30:00,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Prahova,2844634.0,Prahova,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,4821919.200000000186264514923095703125,RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
67,67,156421,2015-01-08T01:30:00,REGISTRUL AUTO ROMAN - R.A.,RO 1590236,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,3060000,RON,Offline,DA,NU,79521000-2,Servicii de fotocopiere (Rev.2)
68,68,156442,2015-01-08T01:30:00,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,664391.930000000051222741603851318359375,RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
69,69,156412,2015-01-08T01:30:00,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,23590689.100000001490116119384765625,RON,Offline,DA,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
70,70,156429,2015-01-08T01:30:00,SPITALUL JUDETEAN DE URGENTA DEVA,4374385.0,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1555929.84000000008381903171539306640625,RON,Online,DA,NU,33621200-1,Antihemoragice (Rev.2)
71,71,156432,2015-01-08T01:30:00,MUNICIPIUL BUCURESTI,4267117.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,215620,EUR,Offline,DA,NU,39141000-2,Mobilier si echipament de bucatarie (Rev.2)
72,72,156417,2015-01-08T01:30:00,"Institutul pentru Ocrotirea Mamei si Copilului Prof. Dr. ""Alfred Rusescu""",4266308.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1569000,RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
73,73,156431,2015-01-08T01:30:00,SPITALUL JUDETEAN DE URGENTA DEVA,4374385.0,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,889512,RON,Online,DA,NU,24111500-0,Gaze medicale (Rev.2)
74,74,156425,2015-01-08T01:30:00,REGIA AUTONOMA DE ADMMINISTRARE A DOMENIULUI PUBLIC SI A FONDULUI LOCATIV R.A. CRAIOVA,RO 7403230,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2717110,RON,Offline,DA,NU,14210000-6,"Pietris, nisip, piatra concasata si agregate (Rev.2)"
75,75,156406,2015-01-08T01:30:00,SPITALUL MUNICIPAL CARACAL,4395086.0,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,822514.319999999948777258396148681640625,RON,Online,DA,NU,33650000-1,"Antiinfectioase generale pentru uz sistemic, vaccinuri, antineoplazice si imunomodulatoare (Rev.2)"
76,76,156444,2015-01-08T01:30:00,Universitatea Stefan cel Mare Suceava,4244423.0,Suceava,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,189193.5499999999883584678173065185546875,EUR,Offline,DA,DA,38947000-7,Microanalizoare cu raze X (Rev.2)
77,77,156428,2015-01-08T01:30:00,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,2340000,RON,Offline,DA,NU,24313110-5,Diverse sulfuri (Rev.2)
78,78,156437,2015-01-08T12:12:07,SPITALUL CLINIC JUDETEAN MURES,24014380.0,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,371850,RON,Offline,NU,NU,33141200-2,Catetere (Rev.2)
79,79,156446,2015-01-08T12:13:55,APA CANAL 2000 S.A.,RO 13009001,Arges,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,21611205,RON,Offline,NU,NU,45332000-3,Lucrari de instalatii de apa si canalizare si de conducte de evacuare (Rev.2)
80,80,156436,2015-01-08T12:35:12,SOCIETATEA NATIONALA DE INCHIDERI MINE VALEA JIULUI SA,RO30859649,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,441000,RON,Offline,NU,NU,44313000-7,Plasa metalica (Rev.2)
81,81,156440,2015-01-08T12:58:23,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,82415,RON,Offline,NU,NU,30125100-2,Cartuse de toner (Rev.2)
82,82,156441,2015-01-08T12:59:11,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,850000,RON,Offline,NU,NU,79631000-6,Servicii de personal si de salarizare (Rev.2)
83,83,156447,2015-01-08T13:12:09,BIROUL ROMAN DE METROLOGIE LEGALA,RO 4283376,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,204838.70999999999185092747211456298828125,RON,Offline,NU,NU,34144700-5,Vehicule utilitare (Rev.2)
84,84,156445,2015-01-09T01:30:00,SPITALUL CLINIC DE RECUPERARE IASI,4541092.0,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,4324661.08000000007450580596923828125,RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
85,85,156438,2015-01-09T01:30:00,SPITALUL JUDETEAN SATU MARE,3963722.0,Satu Mare,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,3970560,RON,Offline,DA,NU,85112100-8,Servicii privind asternuturile pentru spital (Rev.2)
86,86,156449,2015-01-09T01:30:00,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,26361041.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,721985.709999999962747097015380859375,RON,Offline,DA,NU,66514110-0,Servicii de asigurare a autovehiculelor (Rev.2)
87,87,156448,2015-01-09T01:30:00,APASERV SATU MARE S.A.,RO16844952,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,3000000,RON,Online,DA,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
88,88,156480,2015-01-09T11:30:43,Agentia pentru Dezvoltare Regionala Sud Muntenia,11390243.0,Calarasi,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,100000,RON,Offline,NU,DA,79311100-8,Servicii de elaborare de studii (Rev.2)
89,89,156470,2015-01-09T12:37:19,SPITALUL MUNICIPAL CARACAL,4395086.0,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,536222.400000000023283064365386962890625,RON,Online,NU,NU,33690000-3,Diverse medicamente (Rev.2)
90,90,156450,2015-01-09T12:42:03,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,359940,RON,Offline,NU,NU,71319000-7,Servicii de expertiza (Rev.2)
91,91,156451,2015-01-09T12:43:26,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,35000,RON,Offline,NU,NU,71323100-9,Servicii de proiectare a sistemelor de energie electrica (Rev.2)
92,92,156453,2015-01-09T12:47:51,Regia Autonoma de Distributie a Energiei Termice Bucuresti,RO 361218,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1077356,RON,Offline,NU,NU,44162200-5,Conducte de distributie (Rev.2)
93,93,156454,2015-01-09T12:50:46,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125.0,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,343367.1900000000023283064365386962890625,RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
94,94,156456,2015-01-09T12:52:39,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,26350,RON,Offline,NU,NU,24453000-4,Erbicide (Rev.2)
95,95,156457,2015-01-09T13:01:42,SOCIETATEA COMERCIALA CEZ DISTRIBUTIE S.A.,14491102.0,Dolj,Lucrari,DA,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,3575510,RON,Offline,NU,NU,45232221-7,Statie electrica de transformare (Rev.2)
96,96,156458,2015-01-09T13:03:38,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,540000,RON,Online,NU,NU,24452000-7,Insecticide (Rev.2)
97,97,156462,2015-01-09T13:06:15,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Negociere,Pretul cel mai scazut,432690,RON,Offline,NU,NU,72268000-1,Servicii de furnizare de software (Rev.2)
